Name,Country,Date of Birth,Height,Appearance,Wins,Losses,Clean Sheet,Saves,Penalty Save,Punch,High Claim,Catch,Sweeper Clearance,Throw,Goal Kick,Goal Conceded,Error Lead To Goal,Own Goal,Yellow Card,Red Card,Foul,Goal,Assist,Total Pass,Total Pass Per Game,Long Ball
Mateusz Hewelt,Poland,23/09/1996,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Dejan Iliev,North Macedonia,25/02/1995,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Daniel Iversen,Denmark,19/07/1997,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Eldin Jakupovic,Switzerland,02/10/1984,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Vitezslav Jaros,Czech Republic,23/07/2001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Lukas Jensen,Denmark,18/03/1999,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Roberto Jiménez,Spain,10/02/1986,192,8,0,6,0,36,0,8,0,1,2,26,41,17,2,1,0,0,0,0,0,203,25.38,49
João Virgínia,Portugal,10/10/1999,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Joel Pereira,Portugal,28/06/1996,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Viktor Johansson,Sweden,14/09/1998,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Lovre Kalinic,Croatia,03/04/1990,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Loris Karius,Germany,22/06/1993,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Peter Keen,England,16/11/1976,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Caoimhin Kelleher,Ireland,23/11/1998,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Matej Kovar,Czech Republic,17/05/2000,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Tim Krul,Netherlands,03/04/1988,188,36,5,25,5,132,2,20,28,3,10,198,332,68,1,1,4,0,1,0,0,"1,382",38.39,247
Adam Legzdins,England,28/11/1986,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Bernd Leno,Germany,04/03/1992,190,30,9,8,7,113,1,17,17,11,15,185,253,39,2,0,2,0,0,0,0,800,26.67,74
Anders Lindegaard,Denmark,13/04/1984,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Hugo Lloris,France,26/12/1986,188,21,11,4,6,81,1,10,12,2,1,97,150,21,2,0,0,0,0,0,0,474,22.57,122
Andy Lonergan,England,19/10/1983,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Emiliano Martínez,Argentina,02/09/1992,195,9,5,3,3,34,0,1,8,4,2,48,61,9,0,0,2,0,0,0,0,245,27.22,33
Michael McGovern,Northern Ireland,12/07/1984,191,2,0,2,0,7,1,2,0,0,1,11,14,6,0,0,0,0,0,0,0,40,20.00,4
Jonas Lössl,Denmark,01/02/1989,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Lucas Perri,Brazil,10/12/1997,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Matt Macey,England,09/09/1994,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Archie Mair,Scotland,10/02/2001,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Simon Mignolet,Belgium,06/03/1988,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Arijanet Muric,Kosovo,07/11/1998,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
David Ospina,Colombia,31/08/1988,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Aston Oxborough,England,09/05/1998,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Adam Parkes,England,30/11/1999,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Bailey Peacock-Farrell,Northern Ireland,29/10/1996,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Pepe Reina,Spain,31/08/1982,188,12,3,6,2,33,1,3,5,2,6,51,94,20,1,0,1,0,1,0,0,345,28.75,101
Jordan Pickford,England,07/03/1994,185,38,13,15,9,94,0,11,19,7,9,195,264,56,4,0,2,0,1,0,0,"1,184",31.16,293
Ørjan Nyland,Norway,10/09/1990,192,7,1,4,1,15,0,1,3,2,0,29,53,12,0,0,0,0,0,0,0,152,21.71,35
Kieran O'Hara,Ireland,22/04/1996,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Sergio Romero,Argentina,22/02/1987,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
John Ruddy,England,24/10/1986,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Rui Patrício,Portugal,15/02/1988,190,38,15,9,13,91,2,5,19,7,3,127,283,40,2,0,0,0,0,0,0,734,19.32,281
Nick Pope,England,19/04/1992,191,38,15,14,15,120,1,11,46,6,18,180,304,50,2,0,1,0,0,0,0,"1,007",26.50,277
Aaron Ramsdale,England,14/05/1998,188,37,9,21,5,129,1,17,20,6,13,185,288,62,1,0,0,0,0,0,1,945,25.54,203
Darren Randolph,Ireland,12/05/1987,188,2,0,1,0,6,0,0,0,0,1,4,14,5,0,0,0,0,0,0,0,36,18.00,16
Mat Ryan,Australia,08/04/1992,184,38,9,15,9,117,0,11,16,5,8,255,274,54,0,0,0,0,0,0,0,"1,220",32.11,260
Robert Sánchez,Spain,18/11/1997,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Matija Sarkic,Montenegro,23/07/1997,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Kasper Schmeichel,Denmark,05/11/1986,189,38,18,12,13,96,2,8,14,12,8,159,241,41,1,0,2,0,0,0,0,"1,033",27.18,248
Andreas Söndergaard,Denmark,17/01/2001,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Julian Speroni,Argentina,18/05/1979,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Jason Steele,England,18/08/1990,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Jed Steer,England,23/09/1992,183,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2.00,0
Zack Steffen,United States,02/04/1995,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Maarten Stekelenburg,Netherlands,22/09/1982,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Michael Stensgaard,Denmark,01/09/1974,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Mark Travers,Ireland,18/05/1999,191,1,0,1,0,2,0,0,0,0,0,5,7,3,1,0,0,0,0,0,0,25,25.00,2
Nathan Trott,England,21/11/1998,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Joe Tupper,England,15/11/1997,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Michael Verrips,Netherlands,03/12/1996,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Michel Vorm,Netherlands,20/10/1983,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Christian Walton,England,09/11/1995,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Alfie Whiteman,England,02/10/1998,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Ben Winterbottom,England,16/07/2001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Freddie Woodman,England,04/03/1997,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Karlo Ziger,Croatia,11/05/2001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
