Name,Country,Date of Birth,Height,Appearance,Wins,Losses,Goal,Assist,Goals Per Game,Headed Goals,Goals With Right Foot,Goals With Left Foot,Penalty Goals,Free Kick Goals,Shots,Shots On Target,Shooting Accuracy Rate,Hit Woodwork,Big Chance Missed,Total Passes,Total Passes Per Game,Big Chance Created,Crosses,Cross Accuracy Rate,Through Balls,Accurate Long Balls,Yellow Cards,Red Cards,Fouls,Offsides,Tackles,Tackle Success Rate,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerial Battles Won,Aerial Battles Lost,Errors Leading To Goal
Owen Bailey,England,22/01/1999,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jayden Bennetts,England,26/06/2001,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Josh Benson,England,05/12/1999,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Nabil Bentaleb,Algeria,24/11/1994,187,12,2,6,0,0,0,0,0,0,0,0,4,0,0%,0,0,406,33.83,0,2,0%,0,25,2,0,19,0,23,57%,2,19,9,5,46,50,54,8,14,13,1
Sander Berge,Norway,14/02/1998,195,14,6,5,1,1,0.07,0,1,0,0,0,5,2,40%,0,1,368,26.29,1,22,9%,0,13,0,0,18,1,22,68%,1,10,13,8,56,77,50,15,35,16,0
Adrián Bernabé,Spain,26/05/2001,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Bernardo Rosa,Brazil,20/09/2000,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Bernardo Silva,Portugal,10/08/1994,173,34,22,9,6,7,0.18,1,0,5,0,0,52,15,29%,2,6,1374,40.41,8,72,24%,1,39,5,0,23,2,36,50%,23,24,12,6,129,110,112,40,14,24,0
Muhamed Besic,Bosnia And Herzegovina,10/09/1992,180,9,4,3,0,0,0,0,0,0,0,0,4,2,50%,0,0,106,11.78,0,1,0%,0,6,2,0,6,0,8,75%,0,1,6,4,17,22,14,7,5,3,0
Philip Billing,Denmark,11/06/1996,193,34,9,19,1,1,0.03,0,0,1,0,0,33,8,24%,0,2,1154,33.94,2,14,7%,1,43,8,0,38,2,72,64%,6,66,94,55,162,228,202,22,111,78,1
Billy Arce,Ecuador,12/07/1998,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Yves Bissouma,Mali,30/08/1996,182,22,5,9,1,0,0.05,0,1,0,0,0,16,7,44%,1,0,619,28.14,0,6,17%,3,35,4,0,31,0,49,78%,2,21,21,9,105,112,108,32,17,16,0
Birkir Bjarnason,Iceland,27/05/1988,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Luke Bolton,England,07/10/1999,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Sofiane Boufal,Morocco,17/09/1993,170,20,5,11,0,2,0,0,0,0,0,0,18,7,39%,0,1,288,14.4,4,27,11%,1,6,2,0,25,2,16,50%,6,4,0,0,45,96,116,53,7,11,0
Jamie Bowden,England,09/07/2001,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Tiemoué Bakayoko,France,17/08/1994,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Lewis Baker,England,25/04/1995,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Beni Baningime,The Democratic Republic Of Congo,09/09/1998,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Scott Banks,Scotland,26/09/2001,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Ross Barkley,England,05/12/1993,189,21,13,4,1,4,0.05,0,0,1,0,0,40,12,30%,1,3,618,29.43,2,12,17%,6,39,0,0,9,0,16,56%,16,7,7,3,69,70,80,27,12,13,0
Daniel Barlaser,England,18/01/1997,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Lewis Bate,England,29/10/2002,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jack Bearne,England,15/09/2001,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Chem Campbell,Wales,30/12/2002,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Todd Cantwell,England,27/02/1998,177,37,5,26,6,2,0.16,0,5,1,0,0,42,16,38%,0,3,1065,28.78,1,24,4%,3,30,6,0,33,3,51,61%,13,18,28,6,148,182,194,49,20,39,1
Etienne Capoue,France,11/07/1988,189,30,8,16,0,3,0,0,0,0,0,0,19,1,5%,0,0,1434,47.8,4,23,39%,3,112,8,0,57,0,75,53%,6,68,56,31,219,186,165,23,49,19,0
Tom Carroll,England,28/05/1992,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Samir Carruthers,Ireland,04/04/1993,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Dani Ceballos,Spain,07/08/1996,179,24,12,6,0,2,0,0,0,0,0,0,13,3,23%,0,0,1251,52.13,1,70,13%,6,76,1,0,19,0,45,51%,5,32,11,6,153,116,125,27,9,25,0
Trevoh Chalobah,England,05/07/1999,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Pedro Chirivella,Spain,23/05/1997,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Hamza Choudhury,England,01/10/1997,178,20,9,6,1,1,0.05,0,1,0,0,0,7,2,29%,0,0,496,24.8,0,4,0%,0,19,2,1,12,0,17,47%,3,24,12,5,51,39,54,3,12,10,0
Isaac Christie-Davies,Wales,18/10/1997,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Leighton Clarkson,England,19/10/2001,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Robbie Brady,Ireland,14/01/1992,176,17,5,10,1,2,0.06,0,0,1,0,0,12,1,8%,1,0,151,8.88,1,14,7%,2,4,1,0,8,1,11,82%,5,5,7,4,36,33,38,6,12,9,0
David Brooks,Wales,08/07/1997,173,9,2,6,1,0,0.11,0,0,1,0,0,6,2,33%,1,0,153,17,0,24,25%,0,4,1,0,4,0,5,100%,3,2,1,1,13,23,42,12,0,7,0
Isaiah Brown,England,07/01/1997,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Josh Brownhill,England,19/12/1995,180,10,5,2,0,0,0,0,0,0,0,0,6,0,0%,0,1,331,33.1,0,2,0%,0,10,2,0,6,0,14,57%,2,14,17,8,43,48,36,7,20,18,0
Bruno Fernandes,Portugal,08/09/1994,179,14,9,0,8,7,0.57,0,8,0,4,1,44,18,41%,3,4,777,55.5,3,75,19%,8,46,2,0,9,2,22,55%,7,11,14,9,67,54,72,15,3,11,0
Bruno Jordão,Portugal,12/10/1998,180,1,0,1,0,0,0,0,0,0,0,0,0,0,0%,0,0,6,6,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,2,0,0,0,0,0,0
Emiliano Buendía,Argentina,25/12/1996,172,36,5,25,1,7,0.03,0,0,1,0,0,40,11,28%,0,1,1407,39.08,9,164,25%,17,90,6,1,36,2,82,48%,13,23,24,10,187,267,286,102,29,51,2
Robbie Burton,Wales,26/12/1999,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Matt Butcher,England,14/05/1997,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jake Cain,England,02/09/2001,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Víctor Camarasa,Spain,28/05/1994,183,1,0,1,0,0,0,0,0,0,0,0,0,0,0%,0,0,3,3,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jordy Clasie,Netherlands,27/06/1991,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Tom Cleverley,England,12/08/1989,175,18,2,10,1,0,0.06,0,1,0,0,0,17,5,29%,0,2,430,23.89,0,29,21%,0,16,2,0,16,0,28,54%,7,10,15,4,51,54,61,7,9,12,0
Jack Colback,England,24/10/1989,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Will Collar,England,03/02/1997,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jack Cork,England,25/06/1989,183,30,12,12,0,0,0,0,0,0,0,0,18,6,33%,0,1,923,30.77,2,6,17%,2,48,1,0,33,1,35,69%,8,28,45,24,171,140,195,26,56,69,0
Paul Coutts,Scotland,22/07/1988,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Conor Coventry,Ireland,25/03/2000,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Kane Crichlow,Bermuda,21/08/2000,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Andrew Crofts,Wales,29/05/1984,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Josh Cullen,Ireland,07/04/1996,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Luke Cundle,England,26/04/2002,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Daniel Podence,Portugal,21/10/1995,165,9,4,1,1,0,0.11,1,0,0,0,0,10,3,30%,0,0,95,10.56,2,5,20%,1,3,0,0,5,3,3,100%,4,2,1,0,12,19,21,7,0,6,0
Keinan Davis,England,13/02/1998,191,18,3,9,0,0,0,0,0,0,0,0,17,5,29%,0,3,136,7.56,0,2,0%,0,2,0,0,12,3,1,100%,2,0,3,2,15,53,78,14,27,46,0
Kevin De Bruyne,Belgium,28/06/1991,181,35,25,7,13,20,0.37,0,11,2,2,1,99,31,31%,6,3,1907,54.49,33,304,25%,32,121,3,0,26,3,45,53%,29,18,23,14,136,138,153,48,17,17,0
Steven Defour,Belgium,15/04/1988,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Fabian Delph,England,21/11/1989,174,16,5,7,0,0,0,0,0,0,0,0,3,0,0%,0,0,781,48.81,0,8,63%,1,58,3,1,18,0,26,46%,3,15,16,9,94,69,51,21,15,9,1
Mousa Dembélé,Belgium,16/07/1987,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Leander Dendoncker,Belgium,15/04/1995,188,38,15,9,4,0,0.11,1,2,1,0,0,20,5,25%,0,1,1323,34.82,1,8,38%,0,66,5,0,31,0,68,46%,5,38,61,42,152,187,167,16,96,84,1
Kiernan Dewsbury-Hall,England,06/09/1998,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Mohamed Diamé,Senegal,14/06/1987,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Grady Diangana,England,19/04/1998,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Eric Dier,England,15/01/1994,188,19,11,4,0,2,0,0,0,0,0,0,8,1,13%,1,2,914,48.11,0,3,0%,3,47,5,0,19,1,21,57%,0,21,61,37,59,95,75,4,66,42,0
Elijah Dixon-Bonner,England,01/01/2001,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Moussa Djenepo,Mali,15/06/1998,177,18,7,9,2,2,0.11,0,2,0,0,0,20,8,40%,0,3,239,13.28,3,21,19%,1,5,4,1,23,3,27,78%,3,9,9,3,48,104,92,44,3,16,0
Mihai-Alexandru Dobre,Romania,30/08/1998,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Domingos Quina,Portugal,18/11/1999,179,4,1,3,0,0,0,0,0,0,0,0,1,1,100%,0,0,10,2.5,0,0,0%,0,0,0,0,1,0,2,0%,0,0,0,0,4,4,6,1,0,2,0
Abdoulaye Doucouré,France,01/01/1993,184,37,8,20,4,2,0.11,0,4,0,0,0,61,12,20%,1,4,1678,45.35,6,29,17%,0,41,9,0,51,6,64,47%,20,31,31,11,270,174,206,40,55,57,0
Douglas Luiz,Brazil,09/05/1998,175,36,9,20,3,2,0.08,0,2,1,0,0,38,12,32%,0,2,1208,33.56,3,24,25%,4,92,8,0,51,0,46,52%,16,36,47,18,205,147,162,35,30,36,1
Kieran Dowell,England,10/10/1997,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Tommy Doyle,England,17/10/2001,172,1,1,0,0,0,0,0,0,0,0,0,1,1,100%,0,0,20,20,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,1,1,1,0,0,0,0
Jake Doyle-Hayes,Ireland,30/12/1998,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Luke Dreher,England,27/11/1998,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Danny Drinkwater,England,05/03/1990,178,5,1,3,0,0,0,0,0,0,0,0,2,0,0%,0,0,192,38.4,0,1,0%,0,10,1,0,8,0,7,57%,0,6,5,2,36,9,36,1,0,6,1
Ondrej Duda,Slovakia,05/12/1994,181,10,2,7,0,0,0,0,0,0,0,0,10,4,40%,1,0,338,33.8,2,43,30%,3,14,0,0,9,2,18,61%,5,6,7,5,48,42,42,6,6,18,0
Ovie Ejaria,England,18/11/1997,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Anwar El Ghazi,Netherlands,03/05/1995,188,34,7,19,4,4,0.12,0,4,0,1,0,52,20,38%,2,7,479,14.09,4,107,24%,1,15,3,0,20,12,20,55%,11,13,12,6,75,97,151,29,31,57,0
Harvey Elliott,England,04/04/2003,170,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,11,5.5,0,3,0%,0,1,0,0,0,0,0,0%,0,0,0,0,1,1,1,1,0,0,0
Mohamed Elyounoussi,Norway,04/08/1994,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Christian Eriksen,Denmark,14/02/1992,182,20,7,8,2,2,0.1,0,1,1,0,1,26,9,35%,0,0,674,33.7,3,72,15%,5,30,5,0,9,2,19,47%,11,12,14,5,82,31,52,0,6,10,0
Fabinho,Brazil,23/10/1993,188,28,22,3,2,3,0.07,0,2,0,0,0,12,4,33%,0,0,1578,56.36,2,9,44%,3,80,6,0,32,0,62,56%,4,34,16,6,157,132,110,9,42,28,0
Cesc Fàbregas,Spain,04/05/1987,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Felipe Anderson,Brazil,15/04/1993,175,25,6,15,1,4,0.04,0,1,0,0,0,23,8,35%,1,3,895,35.8,4,34,26%,5,42,1,0,17,2,46,70%,8,22,10,5,112,139,130,63,6,19,0
Marouane Fellaini,Belgium,22/11/1987,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Edimilson Fernandes,Switzerland,15/04/1996,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Fernandinho,Brazil,04/05/1985,179,30,20,8,0,1,0,0,0,0,0,0,17,2,12%,1,0,2222,74.07,0,4,0%,0,133,7,2,26,1,50,70%,4,25,80,50,148,154,96,13,74,49,0
Will Ferry,Ireland,07/12/2000,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Ethan Fitzhugh,England,27/11/2002,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jake Flannigan,England,02/02/1996,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
John Fleck,Scotland,24/08/1991,170,30,10,11,5,2,0.17,0,1,4,0,0,31,11,35%,0,2,999,33.3,5,149,22%,3,38,8,0,25,1,36,69%,12,24,21,7,169,115,122,44,14,25,0
Phil Foden,England,28/05/2000,171,23,20,2,5,2,0.22,0,1,4,0,0,34,15,44%,0,1,494,21.48,0,29,24%,4,17,0,0,12,1,14,71%,8,6,2,1,36,62,61,25,10,18,0
Pablo Fornals,Spain,22/02/1996,178,36,10,17,2,5,0.06,0,2,0,0,0,36,11,31%,0,2,843,23.42,4,61,16%,6,40,3,0,18,7,46,61%,9,25,8,3,155,87,153,15,10,48,0
Ryan Fraser,Scotland,24/02/1994,163,28,7,16,1,4,0.04,0,1,0,0,1,27,12,44%,0,5,770,27.5,5,174,16%,2,27,2,0,10,1,12,50%,10,15,17,11,97,66,81,12,6,25,0
Fred,Brazil,05/03/1993,169,29,13,7,0,0,0,0,0,0,0,0,40,10,25%,1,0,1668,57.52,3,63,22%,3,110,8,0,42,1,60,53%,10,38,27,7,234,145,172,40,9,19,0
Gabriel Martinelli,Brazil,18/06/2001,180,14,3,3,3,0,0.21,0,3,0,0,0,12,5,42%,0,1,116,8.29,0,22,0%,1,2,1,0,9,2,20,75%,2,3,5,4,34,46,92,9,8,37,0
Ethan Galbraith,Northern Ireland,11/05/2001,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Conor Gallagher,England,06/02/2000,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
James Garner,England,13/03/2001,186,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,14,14,0,0,0%,0,1,0,0,0,0,0,0%,0,0,1,0,1,1,1,0,0,0,0
Jean-Philippe Gbamin,Cote D'Ivoire,25/09/1995,186,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,70,35,0,0,0%,0,2,0,0,2,0,4,75%,0,1,4,3,8,11,10,2,3,2,0
