Name,Country,Date of Birth,Height,Appearance,Wins,Losses,Clean Sheet,Goal,Assist,Goal Conceded,Tackle,Tackle Success Rate,Last Man Tackle,Blocked Shots,Interceptions,Clearances,Headed Clearance,Clearances Off Line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial Battles Won,Aerial Battles Lost,Own Goals,Errors Leading To Goal,Passes,Passes Per Match,Big Chances Created,Crosses,Cross Accuracy %,Through Balls,Accurate Long Balls,Yellow Cards,Red Cards,Fouls,Offsides,Headed Goals,Goals With Right Foot,Goals With Left Foot,Hit Woodwork
Charlie Daniels,England,07/09/1986,178,2,1,1,0,0,0,2,1,100%,0,0,1,4,4,0,11,3,2,0,2,0,0,0,37,18.5,0,5,40%,0,3,0,0,0,0,0,0,0,0
Scott Dann,England,14/02/1987,188,16,5,8,5,0,1,14,8,50%,0,2,14,64,29,0,73,52,44,5,39,32,0,0,582,36.38,0,2,50%,0,37,0,0,5,0,0,0,0,1
Kevin Danso,Austria,19/09/1998,190,6,1,3,1,0,1,8,6,67%,0,0,2,7,3,0,13,18,24,3,7,12,0,0,131,21.83,0,4,0%,0,4,0,1,4,0,0,0,0,0
David Luiz,Brazil,22/04/1987,189,33,11,8,8,2,1,38,28,57%,0,4,32,126,76,0,128,98,90,5,52,42,0,2,1799,54.52,2,5,60%,12,161,5,2,30,1,1,1,0,0
Craig Dawson,England,06/05/1990,188,29,6,15,4,2,0,49,29,62%,1,8,34,111,69,1,123,144,90,3,102,46,0,0,937,32.31,0,4,25%,1,86,6,0,31,0,1,1,0,1
Lucas Digne,France,20/07/1993,178,35,12,14,7,0,7,49,73,67%,0,15,42,93,47,0,182,237,167,23,114,53,1,0,1374,39.26,8,270,27%,2,64,6,0,43,3,0,0,0,1
Diogo Dalot,Portugal,18/03/1999,183,4,1,2,0,0,0,1,3,67%,0,0,2,1,1,0,5,6,7,0,3,1,0,0,51,12.75,0,3,0%,0,1,0,0,1,0,0,0,0,0
Issa Diop,France,09/01/1997,194,32,8,15,4,3,1,54,27,56%,1,1,47,164,84,0,145,122,84,5,79,40,0,1,974,30.44,3,1,0%,0,49,8,0,31,1,2,1,0,0
Matt Doherty,Ireland,16/01/1992,182,36,15,7,12,4,3,31,55,53%,1,9,40,47,30,0,160,233,169,28,133,97,0,0,1476,41.0,2,45,16%,1,47,1,0,28,3,1,0,3,1
Shane Duffy,Ireland,01/01/1992,193,19,5,7,2,1,0,18,18,50%,1,1,21,70,48,0,56,98,48,3,70,26,0,0,641,33.74,0,1,100%,0,44,2,0,14,0,0,1,0,0
Paul Dummett,Wales,26/09/1991,183,16,6,6,3,0,0,20,27,63%,0,0,23,61,31,0,54,62,44,1,28,32,1,0,449,28.06,0,15,13%,0,25,2,0,4,0,0,0,0,0
Lewis Dunk,England,21/11/1991,192,36,9,13,9,3,3,50,40,60%,1,5,55,123,53,1,250,161,99,5,99,52,0,0,2251,62.53,1,1,0%,1,164,9,0,19,1,1,2,0,1
John Egan,Ireland,20/10/1992,185,36,14,11,12,2,0,30,44,61%,1,14,58,165,76,0,177,198,129,1,134,79,0,1,1290,35.83,1,2,0%,0,111,3,1,34,1,1,1,0,0
Emerson,Italy,03/08/1994,176,15,4,8,1,0,0,21,23,52%,0,4,18,14,9,0,59,68,31,12,17,11,0,0,718,47.87,2,54,24%,0,22,3,0,4,2,0,0,0,1
Björn Engels,Belgium,15/09/1994,193,17,3,12,2,1,0,32,11,55%,0,0,28,85,42,0,53,71,39,1,55,27,0,1,647,38.06,0,2,50%,0,49,1,0,5,1,1,0,0,0
Jonny Evans,Northern Ireland,03/01/1988,188,38,18,12,11,1,1,41,48,71%,0,1,57,171,84,0,230,207,121,6,127,71,1,0,2491,65.55,0,8,13%,1,116,8,1,35,2,1,0,0,0
Akin Famewo,England,09/11/1998,187,1,0,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0%,0,0,0,0,0,0,0,0,0,0
Federico Fernández,Argentina,21/02/1989,190,32,10,12,8,2,2,42,42,60%,0,2,24,185,106,0,128,132,100,10,61,51,1,0,1110,34.69,2,29,17%,0,100,8,0,17,2,1,1,0,1
Timothy Fosu-Mensah,Netherlands,02/01/1998,190,3,2,0,1,0,0,1,1,100%,0,0,4,1,0,0,7,3,11,1,1,2,0,0,64,21.33,0,2,50%,0,3,1,0,5,1,0,0,0,0
Dimitri Foulquier,Guadeloupe,23/03/1993,183,3,0,2,0,0,0,6,1,0%,0,0,2,2,0,0,4,3,2,2,0,2,0,0,10,3.33,0,1,0%,0,1,0,0,0,0,0,0,0,0
Juan Foyth,Argentina,12/01/1998,179,4,1,0,0,0,0,3,7,43%,0,0,1,2,1,0,9,12,7,2,3,1,0,1,56,14.0,0,0,0%,0,2,1,0,2,0,0,0,0,0
Simon Francis,England,16/02/1985,183,15,3,11,1,0,0,21,13,69%,0,3,20,66,40,0,62,66,54,4,48,32,0,0,520,34.67,1,16,19%,0,30,3,1,7,0,0,0,0,0
Ryan Fredericks,England,10/10/1992,181,27,8,13,6,0,3,39,82,68%,0,2,24,64,31,1,113,149,116,11,36,36,0,0,856,31.7,3,59,25%,0,31,7,0,25,0,0,0,0,0
Kieron Freeman,Wales,21/03/1992,178,2,1,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0.5,0,0,0%,0,0,0,0,1,0,0,0,0,0
Christian Fuchs,Austria,07/04/1986,187,11,6,3,2,0,0,10,14,64%,0,1,17,23,13,0,45,35,36,2,19,18,0,1,563,51.18,0,16,13%,0,26,0,0,2,1,0,0,0,0
Eric García,Spain,09/01/2001,182,13,11,2,3,0,0,7,6,17%,0,0,18,31,14,0,38,25,34,6,11,20,0,0,728,56.0,0,1,100%,0,26,1,0,9,0,0,0,0,0
Ben Godfrey,England,15/01/1998,183,30,5,22,2,0,0,62,22,64%,0,0,25,148,76,0,162,105,70,8,66,42,1,0,1660,55.33,0,3,0%,1,95,3,1,15,0,0,0,0,2
Joseph Gomez,England,23/05/1997,188,28,24,2,12,0,0,16,23,70%,0,1,38,59,25,0,151,112,87,8,70,49,0,0,1988,71.0,0,9,33%,1,104,7,0,21,0,0,0,0,0
Frédéric Guilbert,France,24/12/1994,178,25,7,13,2,0,2,36,74,58%,0,2,49,62,26,0,104,164,172,23,48,68,0,0,749,29.96,1,91,16%,0,40,7,0,36,2,0,0,0,0
Grant Hanley,Scotland,20/11/1991,187,15,3,9,2,0,0,25,24,63%,0,1,31,76,44,0,56,89,38,2,44,18,1,0,658,43.87,0,0,0%,0,32,4,0,12,0,0,0,0,0
Rob Holding,England,20/09/1995,189,8,4,3,1,0,0,9,4,50%,0,0,5,43,26,0,22,25,24,2,16,14,0,0,351,43.88,0,0,0%,0,20,1,0,4,0,0,0,0,0
José Holebas,Greece,27/06/1984,184,14,2,8,1,0,0,28,26,58%,0,1,3,29,19,0,44,74,72,7,36,21,0,0,414,29.57,0,71,24%,0,14,5,0,18,0,0,0,0,0
Mason Holgate,England,22/10/1996,184,27,11,8,5,0,3,34,44,59%,0,1,34,94,39,1,126,120,70,10,44,36,0,0,1058,39.19,3,2,50%,2,113,5,0,17,1,0,0,0,0
Phil Jagielka,England,17/08/1982,180,6,4,1,0,0,0,6,5,80%,0,0,4,19,10,0,16,24,7,0,15,4,0,0,75,12.5,0,1,100%,0,4,0,0,1,0,0,0,0,0
Reece James,England,08/12/1999,182,24,14,7,4,0,2,23,36,64%,0,6,22,22,10,0,104,123,113,30,36,44,0,0,1016,42.33,6,109,24%,0,40,1,0,22,1,0,0,0,1
Daryl Janmaat,Netherlands,22/07/1989,185,8,1,2,3,0,1,5,14,71%,0,2,7,19,5,0,38,22,17,5,2,1,1,0,267,33.38,1,24,29%,0,8,1,0,5,0,0,0,0,0
João Cancelo,Portugal,27/05/1994,182,17,12,4,5,0,0,11,40,60%,0,3,21,16,12,0,99,104,79,37,19,22,0,0,1010,59.41,6,47,15%,0,38,4,0,17,0,0,0,0,0
Jonny,Spain,03/03/1994,175,35,14,8,9,2,2,35,91,60%,0,7,53,29,12,0,158,186,211,32,35,51,0,1,1087,31.06,1,54,17%,1,20,4,0,34,2,0,2,0,0
James Justin,England,23/02/1998,183,13,6,4,4,0,1,14,36,47%,0,1,11,24,16,0,64,85,71,8,22,33,1,0,682,52.46,1,37,19%,0,20,1,0,8,1,0,0,0,1
Christian Kabasele,Belgium,24/02/1991,187,27,7,11,6,0,2,34,37,65%,0,5,36,124,58,0,96,121,90,9,62,49,0,0,670,24.81,1,0,0%,0,59,1,2,22,0,0,0,0,0
Michael Keane,England,11/01/1993,191,31,12,12,7,2,0,42,31,52%,0,1,44,150,91,0,127,169,121,1,130,90,1,0,1447,46.68,1,0,0%,2,91,3,0,20,0,1,1,0,1
Lloyd Kelly,England,06/10/1998,178,8,2,5,1,0,0,15,7,43%,0,1,6,15,5,0,42,22,31,2,11,20,0,1,201,25.13,0,6,17%,0,10,2,0,7,0,0,0,0,0
Kiko Femenía,Spain,02/02/1991,176,28,6,16,4,0,0,46,68,56%,0,1,36,46,17,0,150,112,100,19,13,13,0,0,953,34.04,1,69,29%,0,37,5,0,26,1,0,0,0,0
Maximilian Kilman,England,23/05/1997,193,3,1,1,0,0,0,2,4,50%,0,0,4,7,3,0,9,17,11,1,12,10,0,0,101,33.67,0,0,0%,0,2,0,0,2,0,0,0,0,0
Timm Klose,Switzerland,09/05/1988,193,7,0,7,0,0,0,13,8,25%,0,2,7,27,15,0,30,31,32,2,17,21,0,0,393,56.14,0,0,0%,0,15,0,0,8,0,0,0,0,0
Sead Kolasinac,Bosnia And Herzegovina,20/06/1993,183,26,11,7,3,0,2,26,29,55%,0,1,25,33,26,0,103,88,66,16,28,19,0,0,900,34.62,2,29,21%,0,21,4,0,20,5,0,0,0,0
Ezri Konsa Ngoyo,England,23/10/1997,183,25,7,12,4,1,2,39,18,50%,0,3,25,66,23,0,100,104,79,7,49,46,0,1,773,30.92,2,13,46%,0,34,3,0,17,1,0,1,0,0
Emil Krafth,Sweden,02/08/1994,184,17,5,8,2,0,1,23,18,67%,0,1,8,40,22,0,43,36,28,4,8,9,0,0,329,19.35,1,20,5%,0,10,0,0,4,0,0,0,0,0
Tariq Lamptey,England,30/09/2000,165,9,3,3,1,0,1,8,9,89%,0,1,16,15,8,0,33,45,42,15,3,8,0,0,178,19.78,3,23,13%,0,2,2,0,13,0,0,0,0,0
Aymeric Laporte,France,27/05/1994,191,15,12,2,3,1,0,5,13,46%,0,1,20,26,10,0,70,48,28,2,25,13,0,0,1148,76.53,0,0,0%,0,59,1,0,9,0,1,0,0,0
Jamaal Lascelles,England,11/11/1993,188,24,8,8,7,1,0,31,14,21%,0,2,28,115,68,1,128,109,82,4,74,49,0,1,847,35.29,0,0,0%,0,53,5,0,22,2,1,0,0,0
Florian Lejeune,France,20/05/1991,189,6,1,3,1,2,0,10,8,25%,0,0,10,13,8,0,35,24,19,4,10,7,0,2,197,32.83,0,3,0%,0,14,0,0,6,0,0,1,1,0
Victor Lindelöf,Sweden,17/07/1994,187,35,17,6,12,1,0,32,29,52%,0,1,26,122,58,0,215,135,78,4,96,50,1,0,2094,59.83,0,2,0%,2,75,6,0,22,0,1,0,0,0
Kevin Long,Ireland,18/08/1990,188,8,3,2,2,0,0,5,7,71%,0,1,4,30,15,0,23,40,35,1,28,23,0,0,200,25.0,0,0,0%,0,11,0,0,9,0,0,0,0,0
Dejan Lovren,Croatia,05/07/1989,188,10,8,1,0,0,1,11,13,62%,2,1,10,41,18,0,51,70,36,1,49,27,0,0,680,68.0,1,0,0%,2,28,1,0,4,0,0,0,0,0
Matthew Lowton,England,09/06/1989,180,17,5,8,6,0,1,31,41,54%,0,0,27,52,30,0,72,82,47,9,22,14,0,1,551,32.41,2,45,20%,2,41,2,0,14,0,0,0,0,0
Harry Maguire,England,05/03/1993,194,38,18,8,13,1,1,36,37,62%,0,6,72,157,94,0,237,240,128,8,176,71,0,0,2519,66.29,2,2,0%,1,169,6,0,33,6,1,0,0,0
Javier Manquillo,Spain,05/05/1994,178,21,6,8,6,0,1,21,39,67%,0,1,18,48,20,0,83,79,61,13,16,16,0,0,475,22.62,0,45,11%,0,17,5,0,18,1,0,0,0,0
Pablo Marí,Spain,31/08/1993,193,2,1,1,1,0,0,0,2,50%,0,0,1,9,6,0,9,6,4,0,4,3,0,0,100,50.0,0,0,0%,0,8,0,0,2,0,0,0,0,0
Adrian Mariappa,Jamaica,03/10/1986,180,20,4,12,3,0,0,33,20,70%,0,1,11,68,35,0,49,70,72,1,42,30,1,0,462,23.1,0,22,23%,0,25,4,1,20,2,0,0,0,0
Adam Masina,Italy,02/01/1994,189,26,7,14,4,1,0,31,38,58%,0,2,28,59,31,2,99,126,101,9,68,33,0,0,697,26.81,0,69,20%,1,46,3,0,26,2,0,0,1,0
Arthur Masuaku,The Democratic Republic Of Congo,07/11/1993,179,17,5,7,1,0,1,18,41,56%,0,0,14,22,10,0,74,89,76,27,12,14,0,0,503,29.59,2,25,20%,2,17,4,1,10,0,0,0,0,0
Joel Matip,Cameroon,08/08/1991,195,9,7,0,2,1,0,5,13,69%,0,0,12,37,24,0,51,66,21,2,47,5,0,0,553,61.44,0,1,0%,0,26,0,0,7,0,1,0,0,0
Ben Mee,England,21/09/1989,180,32,13,13,13,1,1,45,41,54%,0,4,42,160,80,0,176,195,125,6,131,90,0,2,1257,39.28,3,3,33%,0,102,7,0,25,3,1,0,0,1
Chris Mepham,Wales,05/11/1997,191,12,2,8,1,1,0,19,20,45%,1,1,17,62,35,0,54,61,43,3,33,23,0,1,500,41.67,0,3,33%,0,19,1,0,11,1,0,1,0,0
Yerry Mina,Colombia,23/09/1994,195,29,10,12,4,2,1,37,39,56%,0,6,28,98,58,0,131,170,97,6,114,70,1,0,1361,46.93,2,4,0%,1,108,3,0,20,2,1,1,0,0
Tyrone Mings,England,13/03/1993,196,33,8,17,6,2,2,53,15,73%,0,0,30,189,83,3,201,105,70,12,67,46,0,2,1384,41.94,1,7,14%,0,117,7,0,20,2,0,0,2,0
Tyrick Mitchell,England,01/09/1999,174,4,0,3,0,0,0,4,5,40%,0,0,2,1,0,0,7,7,18,1,0,6,0,0,94,23.5,0,4,75%,0,3,1,0,1,0,0,0,0,0
Martín Montoya,Spain,14/04/1991,175,27,7,12,6,0,1,32,57,51%,1,2,24,31,14,0,87,103,102,10,22,19,0,0,1004,37.19,3,44,30%,1,48,5,0,27,4,0,0,0,0
Wes Morgan,Jamaica,21/01/1984,186,11,8,2,1,0,0,6,4,25%,0,1,7,19,7,0,16,26,23,2,20,16,0,0,245,22.27,0,0,0%,0,7,0,0,4,0,0,0,0,0
Shkodran Mustafi,Germany,17/04/1992,184,15,5,4,4,0,1,17,17,59%,0,2,18,70,44,0,42,88,42,3,65,21,0,0,844,56.27,1,2,50%,0,48,2,0,14,0,0,0,0,0
Nacho Monreal,Spain,26/02/1986,179,3,2,1,1,0,0,4,1,100%,0,0,3,10,8,0,14,11,14,2,7,8,0,0,177,59.0,1,4,0%,0,4,0,0,1,2,0,0,0,0
Neco Williams,Wales,13/04/2001,183,6,4,1,0,0,0,2,5,60%,0,5,9,3,1,0,16,19,15,6,6,3,0,0,167,27.83,0,14,29%,1,11,1,0,5,0,0,0,0,0
Jeremy Ngakia,England,07/09/2000,183,5,1,4,0,0,0,8,15,47%,0,0,7,15,3,0,16,32,36,9,7,13,0,0,106,21.2,0,12,8%,1,6,0,0,4,1,0,0,0,0
Jack O'Connell,England,29/03/1994,190,33,13,9,12,0,1,28,23,61%,1,3,42,144,76,0,184,182,112,9,135,66,0,1,1557,47.18,6,51,22%,1,125,4,0,22,2,0,0,0,0
Angelo Ogbonna,Italy,23/05/1988,191,31,10,13,6,2,0,44,38,63%,1,1,27,130,65,0,141,159,97,5,102,62,1,0,977,31.52,0,2,50%,1,76,4,0,22,0,0,0,1,0
Nicolás Otamendi,Argentina,12/02/1988,183,24,16,7,6,2,0,21,28,50%,0,2,21,73,33,0,84,94,73,3,61,37,0,1,1533,63.88,0,0,0%,0,60,3,0,21,0,1,1,0,0
Erik Pieters,Netherlands,07/08/1988,183,24,8,10,6,0,4,35,54,59%,0,1,28,48,23,0,97,110,93,4,33,18,0,0,745,31.04,5,41,27%,3,29,2,0,21,0,0,0,0,0
Sebastian Prödl,Austria,21/06/1987,194,1,0,0,0,0,0,0,0,0%,0,0,0,4,3,0,3,3,2,0,3,1,0,0,11,11.0,0,0,0%,0,0,0,0,1,0,0,0,0,0
Ricardo Pereira,Portugal,06/10/1993,175,28,15,8,10,3,2,27,119,57%,3,3,49,74,38,0,171,257,215,60,42,48,0,0,1572,56.14,5,60,15%,4,59,1,0,45,0,0,2,1,0
Diego Rico,Spain,23/02/1993,183,27,8,14,5,0,4,38,61,64%,0,4,84,60,27,0,168,129,108,13,33,28,0,0,1085,40.19,5,173,25%,2,57,6,0,18,2,0,0,0,1
Jairo Riedewald,Netherlands,09/09/1996,182,17,4,6,0,0,0,9,14,71%,0,2,17,19,8,0,47,27,22,8,3,5,0,0,329,19.35,0,6,17%,1,16,0,0,3,0,0,0,0,0
Andrew Robertson,Scotland,11/03/1994,178,36,31,3,9,2,12,31,54,57%,0,7,38,58,25,0,210,122,116,22,33,34,0,0,2492,69.22,14,210,20%,2,84,2,0,18,2,2,0,0,0
Marcos Rojo,Argentina,20/03/1990,187,3,1,1,0,0,0,2,3,33%,0,0,0,6,4,0,7,6,6,0,2,2,0,0,46,15.33,0,3,0%,0,0,1,0,2,0,0,0,0,0
Danny Rose,England,02/07/1990,173,23,6,10,4,0,0,28,39,59%,0,1,18,41,19,0,95,113,82,15,20,18,0,2,837,36.39,1,45,22%,1,20,7,0,25,0,0,0,0,0
Rúben Vinagre,Portugal,09/04/1999,174,16,6,4,1,0,0,6,23,57%,0,1,11,15,5,0,45,58,58,20,7,10,0,0,242,15.13,2,30,30%,0,6,1,0,7,0,0,0,0,0
Antonio Rüdiger,Germany,03/03/1993,190,20,10,7,5,2,0,24,28,64%,0,3,16,56,29,0,141,96,69,3,57,39,1,1,1492,74.6,2,7,14%,3,113,3,0,19,0,2,0,0,0
Ryan Sessegnon,England,18/05/2000,178,6,3,1,0,0,0,5,6,67%,0,1,3,10,8,0,18,18,15,4,6,5,0,0,159,26.5,0,13,8%,0,4,0,0,4,2,0,0,0,0
Mamadou Sakho,France,13/02/1990,187,14,4,7,0,0,0,21,7,71%,0,0,20,44,21,0,67,30,28,4,17,17,0,1,538,38.43,0,0,0%,0,28,1,1,3,0,0,0,0,0
Fabian Schär,Switzerland,20/12/1991,188,22,5,14,4,2,0,37,39,54%,0,5,47,72,30,1,112,113,95,16,34,34,0,2,761,34.59,0,12,8%,1,94,5,0,29,2,0,1,1,0
Ezequiel Schelotto,Italy,23/05/1989,187,8,3,2,0,0,0,7,4,75%,0,2,7,13,7,0,25,19,24,5,6,2,0,0,121,15.13,0,15,7%,0,3,2,0,7,1,0,0,0,0
Jeffrey Schlupp,Ghana,23/12/1992,178,17,6,8,1,3,1,16,18,50%,0,6,13,10,6,0,42,63,77,13,20,24,0,0,314,18.47,2,9,22%,1,9,2,0,17,1,0,1,2,0
Luke Shaw,England,12/07/1995,185,24,12,5,7,0,0,15,34,53%,0,4,24,51,30,0,92,96,72,22,30,23,0,0,1143,47.63,1,38,24%,1,13,7,0,23,4,0,0,0,0
Djibril Sidibé,France,29/07/1992,182,25,9,10,4,0,4,30,83,53%,2,5,40,33,15,0,148,144,106,14,30,32,0,0,948,37.92,4,68,26%,5,54,3,0,24,2,0,0,0,0
Jack Simpson,England,18/12/1996,178,4,0,3,0,0,0,6,5,40%,0,1,2,12,4,0,18,14,12,4,4,2,0,1,93,23.25,0,0,0%,0,1,0,0,1,0,0,0,0,0
Adam Smith,England,29/04/1991,180,24,5,14,3,0,1,40,47,68%,0,1,25,48,19,0,92,145,119,24,35,29,0,0,841,35.04,2,28,21%,0,26,7,0,25,2,0,0,0,0
Sokratis,Greece,09/06/1988,186,19,7,4,4,2,0,25,25,64%,0,2,17,67,39,1,71,100,62,5,59,28,0,1,1029,54.16,2,1,0%,1,70,6,0,19,1,0,2,0,1
